Date_of_PreShoot,Session_Fee,Hair,DOB,zip_code,Sales_total,Model Release,Favorite
8/2/2013,99,no,10/5/1980,32218,866.7,yes,
6/26/2017,179,yes,7/7/1972,32405,1800,yes,
4/12/2015,99,no,6/1/1994,32068,600,no,butt
2/4/2014,99,no,3/2/1971,32258,600,yes,"boobs, eyes"
1/23/2016,99,yes,8/17/1973,31520,1670,no,legs
2/21/2014,99,yes,9/28/1975,32218,,no,
9/4/2013,99,no,10/9/1983,31558,,,
4/15/2014,99,no,7/24/1991,32221,1100,yes,butt
8/1/2015,179,yes,2/8/1981,32097,2400,yes,boobs
11/14/2015,99,no,12/7/1988,32145,,,legs
1/27/2014,99,yes,6/13/1976,32246,,,
2/22/2014,99,yes,12/20/1979,32080,600,,
3/12/2014,99,no,9/8/1982,32233,,,
9/22/2015,99,no,11/20/1984,32225,1140,yes,boobs
11/30/2016,99,no,7/11/1991,32225,600,yes,
2/17/2014,99,no,3/5/1981,32211,160,yes,butt
7/24/2016,99,no,8/8/1989,32233,720,yes,
9/3/2014,99,no,1/11/1979,32210,720,no,boobs
12/4/2014,99,no,8/3/1979,32225,600,yes,butt
10/27/2015,99,no,9/27/1967,32137,1100,yes,boobs
1/18/2016,99,no,9/18/1958,32205,240,yes,
10/11/2013,99,yes,8/11/1984,32065,0,yes,
12/7/2013,100,yes,7/31/1980,32223,730,no,
4/14/2016,99,no,11/1/1959,33605,2520,yes,
10/14/2016,99,no,9/4/1978,32233,1100,yes,
1/17/2014,99,no,06/271985,32092,,,butt
7/9/2014,99,no,10/7/1979,32218,600,yes,boobs
4/2/2014,amazon gift,yes,12/17/1980,32164,600,yes,butt
1/6/2015,99,no,11/2/1989,32244,,,
9/11/2013,99,no,10/8/1986,32246,0,no,
12/28/2014,99,no,3/27/1986,32218,1200,yes,eyes
2/20/2016,179,yes,7/20/1977,31522,600,no,
8/22/2016,99,yes,6/6/1974,32063,,,
2/7/2015,99,yes,3/8/1979,32092,1100,no,
12/5/2013,99,yes,1/20/1978,32216,600,yes,
3/5/2017,99,no,10/18/1983,32073,750,yes,butt
2/18/2017,99,no,4/24/1967,32034,600,no,boobs
12/28/2014,99, no,2/28/1989,32211,1200,yes,butt
1/12/2017,99,no,11/16/1991,32258,,,butt
8/7/2014,99,no,4/14/1989,32216,750,no,
5/4/2016,99,no,11/22/1991,32043,,,butt
2/18/2015,99,yes,10/28/1987,32216,1700,no,
3/24/2015,99,yes,9/3/1960,32205,0,yes,
1/25/2016,99,yes,3/5/1992,32226,,,butt
1/25/2016,99,no,2/8/1988,32218,600,yes,butt
1/15/2014,99,yes,9/1/1991,32224,360,yes,"butt, eyes"
4/11/2016,179,no,5/26/1974,32217,900,no,
10/18/2014,99,no,12/4/1975,32259,,,butt
11/21/2015,99,yes,9/9/1985,32218,600,yes,
2/7/2015,99,yes,6/22/1989,32250,720,yes,
9/10/2015,99,no,10/26/1979,32244,600,yes,
12/7/2013,99,yes,2/14/1975,32256,1050,no,
2/7/2015,179,yes,5/17/1987,32224,1320,yes,boobs
2/20/2016,99,no,11/5/1962,32216,720,no,boobs
2/8/2015,179,no,4/16/1973,32164,600,yes,
1/3/2015,99,yes,11/25/1985,32218,1200,yes,
1/17/2013,99,yes,4/17/1977,32259,615,no,boobs
2/28/2015,99,no,6/25/1987,32216,1360,yes,butt
6/4/2016,99,no,9/27/1990,32003,720,no,butt
2/22/2015,99,no,3/22/1990,32257,1100,no,butt
7/21/2017,179,no,8/7/1991,32073,750,no,
3/20/2016,99,no,4/3/1985,32211,680,yes,"eyes,  legs"
9/27/2014,99,no,1/28/1980,32256,750,yes,
1/7/2015,99,no,8/24/1968,32246,600,yes,butt
2/11/2017,99,no,12/18/1981,32073,,,
3/6/2017,99,yes,10/10/1982,32073,,,
12/10/2015,99,no,11/12/1986,32246,720,yes,
12/5/2013,99,yes,3/28/1987,32257,440,yes,
9/5/2014,99,no,9/17/1981,32205,600,yes,butt
5/2/2016,99,no,10/30/1995,32073,1200,yes,
8/22/2015,99,no,8/9/1990,32034,0,no,"butt, curves, face"
12/15/2013,249,yes,12/26/1963,32003,580,yes,butt
12/14/2015,99,no,2/16/1964,32206,200,no,
1/14/2016,84,no,1/1/1954,32250,,,
5/3/2014,99,no,10/2/1979,32258,,,boobs
3/25/2014,99,no,1/22/1992,32246,600,,boobs
10/28/2016,99,no,8/25/1983,32216,1320,no ,"back, butt, legs"
5/8/2017,99,yes,8/26/1976,32244,1550,yes,"boob, legs"
5/19/2016,89,no,8/7/1989,32003,600,yes,
11/18/2013,99,no,2/26/1972,,,,
11/9/2013,99,yes,4/29/1991,32246,0,yes,
12/4/2013,99,yes,8/27/1983,32092,740,no,
10/6/2014,99,yes,3/27/1986,32257,160,yes,butt
10/12/2017,99,no,4/20/1979,32218,,,"butt, legs"
12/7/2014,179,no,4/14/1988,32277,720,yes,
5/29/2014,99,no,7/19/1978,32065,,,
11/17/2013,99,yes,5/14/1980,32226,440,yes,
8/9/2014,99,yes,7/28/1979,32221,600,yes,
11/12/2016,99,no,10/23/1992,32207,80,yes,"back, eyes"
10/21/2014,99,yes,11/29/1969,32073, , ,
5/8/2017,99,yes,9/21/1976,32258,240,,
8/31/2017,99,no,11/20/1981,32256,,,"eyes, hair"
5/3/2014,99,no,10/19/1982,32258,,,butt
1/20/2015,99,no,6/2/1975,32081,0,,"abs, butt"
6/8/2016,99,no,9/7/1975,32065,520,yes,
7/3/2014,99,no,11/19/1979,32218,0,yes,
12/4/2013,99,no,11/9/1975,32207,510,no,
7/5/2017,99,yes,3/2/1978,31537,750,no,eyes
7/3/2014,99,no,3/30/1984,32246,1100,no,
6/18/2015,99,no,11/9/1991,32164,600,yes,butt
3/17/2013,99,no,,32244,374,,
5/6/2014,99,no,4/15/1962,32244,240,yes,
1/10/2014,99,yes,12/21/1976,32092,530,yes,
3/21/2014,99,no,1/20/1989,32256,600,yes,butt
9/11/2014,99,no,10/7/1983,32164,,,boobs
10/22/2016,99,yes,11/26/1977,31546,680,yes*,
2/9/2015,99,no,8/22/1969,32003,720,yes,
6/22/2015,99,no,11/8/1991,32216,600,yes,
2/22/2014,99,no,6/17/1981,32250,,,butt
2/2/2016,99,no,4/5/1985,32065,,,butt
10/23/2017,99,yes,4/5/1991,31569,600,yes,
4/23/2017,99,no,12/11/1988,32277,720,yes,butt
6/20/2017,99,no,7/14/1968,32210,720,yes,
11/5/2013,249,yes,2/6/1990,31548,585,yes,
2/18/2017,99,no,4/11/1990,32218,1320,yes,
10/20/2013,99,no,6/27/1979,32082,600,no,
5/2/2015,99,no,2/20/1990,32208,,,
11/13/2014,99,yes,12/20/1958,32003,,,
7/13/2015,99,no,12/13/1979,32219,720,yes*,butt
9/16/2014,179,yes,8/17/1981,32097,750,no,"butt, eyes"
7/7/2014,99,yes,11/7/1984,32256,600,yes,legs
7/14/2014,99,no,6/17/1979,32210,780,no,
6/6/2016,179,no,12/3/1973,31558,600,yes,
8/20/2016,99,no,4/20/1983,32244,680,yes,
6/24/2017,99,no,7/17/1990,32216,600,yes,butt
2/9/2015,99,no,6/6/1979,32084,750,yes,butt 
9/6/2014,99,no,11/9/1992,32068,355,yes,
2/3/2017,99,no,10/1/1974,32258,1320,no,
7/3/2014,99,yes,2/14/1988,32084,600,yes,butt
2/8/2017,99,no, 02/15/1994,32209,720,yes,
4/28/2017,99,yes,2/23/1988,32218,600,yes,hips
8/14/2014,99,no,7/6/1972,31313,,,
11/30/2016,99,no,4/5/1980,32218,,,
4/15/2014,249,yes,3/16/1979,31522,,no,boobs
12/28/2013,99,no,4/17/1974,32065,0,no,
6/24/2017,99,no,9/12/1979,32205,600,yes,
3/12/2014,99,no,2/12/1976,32246,1075,yes,"boobs, legs"
11/14/2015,99,no,7/3/1990,32095,1200,yes,"butt, legs"
2/28/2015,99,no,6/24/1988,32258,160,yes,butt
12/1/2016,99,no,2/21/1983,32257,565,no,
9/17/2017,99,no,9/28/1995,32277,160,no,legs
12/4/2013,99,no,12/15/1989,32164,440,yes,butt
8/25/2016,99,no,3/10/1983,32216,750,no,
7/2/2014,99,no,5/6/1990,32250,600,no,
12/5/2015,99,no,4/7/1992,32256,600,yes,
1/22/2015,99,no,9/19/1966,32210,,,
10/9/2013,99,no,6/24/1980,32256,600,yes,
4/26/2014,99,no,4/27/1986,32211,,,
11/9/2014,99,no,10/5/1964,32137,1300,yes,
8/14/2014,99,no,10/11/1971,32250,,,butt
1/14/2017,99,no,7/5/1971,32256,600,no,"butt, decoletage"
9/9/2015,99,no,1/31/1988,32250,,,
9/9/2016,179,no,10/22/1976,32034,400,no,
7/17/2016,179,yes,3/30/1991,32225,2520,yes,
8/30/2015,99,yes,3/22/1988,32164,750,yes,"butt, curves"
2/12/2014,99,yes,5/1/1990,32003,,,butt
10/1/2015,99,no,11/17/1984,32218,80,no,hair
10/22/2013,99,yes,1/18/1989,32257,0,no,
2/19/2015,99,no,7/6/1977,32223,320,no,"butt, eyes"
9/27/2014,99,yes,7/27/1973,32207,1320,yes,legs
3/14/2015,99,yes,4/8/1989,32218,,,butt
12/4/2013,99,no,6/30/1982,32233,580,yes,butt
12/4/2014,99,yes,1/2/1979,32216,,,
8/28/2015,179,no,3/29/1965,32207,1250,no,"legs, feet"
4/21/2016,179,yes,9/5/1977,32225,1200,no,boobs
12/14/2014,99,no,8/24/1968,32258,1550,yes,
10/1/2015,99,yes,7/24/1988,32063,1320,no,butt
2/19/2017,99,no,11/26/1988,32219,,,
5/29/2014,99,no,9/21/1979,32244,600,yes,
4/14/2016,99,no,4/20/1983,32605,,,"eyes, smile"
4/4/2015,99,no,10/11/1970,32218,160,no,
2/8/2014,99,no,10/16/1983,32277,1499,no,butt
11/19/2014,99,no,1/15/1981,32068,600,yes,boob
4/30/2014,99,no,4/5/1982,32233,600,no,butt
1/28/2014,99,no,9/10/1985,32207,510,yes,
9/24/2015,99,no,8/16/1949,32073,240,yes,"boobs, legs"
6/13/2014,99,no,7/27/1989,32256,600,no,legs
4/7/2017,99,no,8/8/1988,32208,,,
1/27/2014,99,no,5/24/1979,32226,0,yes,
12/3/2017,99,no,7/30/1965,32225,720,yes,boobs
11/17/2016,99,no,1/16/1977,32092,0,yes,
4/21/2016,99,yes,4/22/1965,32011,1320,yes,boobs
6/18/2016,99,no,11/20/1976,32244,,,
10/22/2016,99,yes,12/6/1980,31546,680,yes,
3/14/2015,99,no,11/20/1989,32225,1200,yes,
1/16/2015,99,no,11/26/1958,32656,160,yes,
6/11/2017,99,no,12/20/1965,32277,,,legs
1/17/2014,249,yes,6/22/1977,32246,,,"boobs, should, waist"
1/6/2015,179,no,11/29/1986,32258,1200,yes,butt
1/6/2018,179,no,11/12/1979,32210,600,yes,butt
1/23/2017,99,yes,1/22/1973,32226,600,yes,eyes
12/18/2017,179,no,4/2/1998,32208,1347,yes,legs
3/7/2020,50,yes,1/18/1990,32043,,,"butt, legs"
3/10/2020,25,no,9/5/1981,32219,,,
7/15/2018,99,no,6/20/1955,32040,1200,yes,
4/28/2018,99,no,10/15/1956,32225,80,no,butt
4/28/2018,99,no,10/23/1989,32225,600,yes,butt
7/31/2018,99,no,10/11/1977,32217,1320,no,"butt, eyes, hair"
8/31/2018,25,no,2/6/1989,32257?,,,hair
8/31/2018,25,no,7/30/1982,32266,880,no,"butt, back"
9/4/2018,25,no,8/18/1975,32073,600,yes,
9/8/2018,179,yes,12/17/1981,32135,1200,no,butt
9/7/2018,179,no,2/27/1959,32258,,,"boobs, eyes"
8/12/2018,25,yes,3/13/1993,32098,600,yes,butt
8/13/2018,25,yes,2/25/1966,32244,750,no,"boobs, legs"
10/6/2018,179,yes,10/17/1986,32246,,,legs
9/15/2018,25,no,9/19/1964,32210,,,"eyes, smile"
9/15/2018,25,no,2/15/1978,32246,160,yes,butt
10/14/2018,25,no,6/9/1972,32222,950,yes,eyes
10/14/2018,25,no,7/6/1975,32224,1320,no,
10/22/2018,25,no,4/6/1980,32259,,,"boobs, eyes, hips"
11/14/2018,25,no,8/24/1990,32223,1670,yes,"butt, legs, neck"
10/11/2018,25,no,1/27/1987,32068,,,"legs, tattoos"
11/3/2018,25,no,4/25/1989,32256,,,"eyes, tattoos"
11/3/2018,25,no,1/17/1993,32258,600,no,"butt, hair, legs"
11/3/2018,179,no,9/19/1980,32065,1280,yes,
12/12/2018,179,no,3/29/1965,32207,,,
12/4/2018,25,no,8/29/1988,32068,,,
11/30/2018,25,no,2/11/1982,32204,,,"butt, eyes, legs"
11/30/2018,25,no,3/22/1995,32084,,,
12/20/2018,25,yes,6/27/1989,32256,80,yes,"chest, eyes, neck"
12/16/2018,25,no,10/8/1984,32216,160,no,
12/29/2018,25,yes,12/4/1992,32209,600,yes,boobs
1/24/2019,25,no,11/2/1987,32145,600,yes,
1/18/2019,25,no,5/7/1988,32216,,,
1/18/2019,25,no,8/18/1981,32218,1200,no,boobs
1/19/2019,25,yes,12/26/1983,32080,,,"back, butt, curves"
1/11/2019,25,no,7/1/1977,32073,0,no,
1/13/2019,25,no,3/2/1992,32218,160,no,butt
12/29/2018,25,no,10/25/1994,32097,600,yes,butt
2/16/2019,25,no,11/17/1987,32043,240,no,
2/12/2019,25,no,2/9/1959,32226,1320,no,"boobs, butt, eyes, smile"
2/17/2019,25,no,5/28/1997,32250,750,no,
2/23/2019,25,no,12/27/1987,32244,600,yes,"cheek_bones, eyes, lips"
2/26/2019,25,no,10/17/1998,32225,,,
3/3/2019,25,no,12/2/1987,32097,,,"boobs, butt, legs"
4/5/2019,25,no,8/28/1953,32533,600,no,
8/4/2019,179,no,1/21/1947,32223,600,yes,
4/16/2019,25,no,4/13/1986,32208,680,yes,
6/27/2019,25,no,3/23/1979,32208,240,no,
5/11/2019,25,no,7/26/1991,30354,600,yes,"legs, shoulder, smile"
9/7/2019,25,no,6/27/1983,32218,950,no,"back, tattoo"
9/12/2019,25,no,5/10/1967,32277,600,yes,"butt, decoletage, legs"
7/14/2019,25,no,8/31/1999,32068,240,no,
8/22/2019,25,no,6/19/1961,32205,600,yes,
8/18/2019,99,no,4/2/1987,32258,1320,yes,
12/10/2019,25,no,10/6/1995,32164,600,yes,butt
12/1/2019,25,no,5/3/1996,32068,,,"boobs, legs "
11/27/2019,25,yes,11/9/1984,32063,,,eyes
11/27/2019,25,no,12/27/1982,32206,600,yes,
11/20/2019,179,yes,1/26/1996,32246,,,
11/9/2019,25,no,1/5/1980,32218,,,butt
11/13/2020,25,no,8/27/1988,32250,750,no,
11/9/2019,25,no,11/23/1963,32097,,,
11/9/2019,25,no,11/16/1983,32097,,,
11/1/2019,179,no,3/18/1968,32068,680,yes,
10/19/2019,25,no,1/20/1984,32073,600,yes,"boob, smile"
9/25/2019,25,no,7/26/1978,32073,600,no,butt
9/24/2019,25,no,11/3/1959,32097,1320,yes,boobs
9/12/2019,25,no,10/15/1968,32219,0,no,
1/15/2020,25,no,1/20/2000,32086,0,no,
1/6/2020,25,no,10/1/1997,32046,1320,yes,boobs
1/2/2020,179,no,3/7/1994,32137,320,yes,
12/29/2019,25,no,10/30/1993,32256,,,abs
12/21/2019,25,no,3/3/1989,32256,,,butt
12/21/2019,25,no,2/6/1986,32097,750,yes,boobs
12/21/2019,25,no,9/17/1987,32226,160,yes,boobs
11/24/2019,25,yes,11/14/1985,32218,840,no,butt
1/26/2020,25,no,11/23/1990,32216,,,
1/25/2020,25,no,1/15/1989,32257,850,yes,boobs
1/20/2020,25,no,6/9/1992,32258,600,no,butt
1/20/2020,25,no,9/22/1974,32220,680,no,
1/31/2020,179,yes,4/24/1960,31522,1320,yes,boobs
1/6/2020,179,yes,5/11/1976,32083,720,yes,
1/31/2020,25,no,6/20/1975,32258,1320,no,butt
1/26/2020,25,no,12/17/1992,32223,,,butt
2/8/2020,25,no,5/30/1990,32204,,,"butt, eyes"
2/5/2020,25,no,2/10/1999,31525,240,yes,
2/4/2020,25,yes,6/19/1980,31558,600,yes,
2/11/2020,25,no,4/9/1999,32218,720,no,"freckles, smile"
2/11/2020,25,no,11/28/1988,32097,0,no,butt
2/8/2020,25,no,10/24/1984,32246,160,no,
2/24/2020,25,no,4/2/1947,32258,,,
2/20/2020,25,no,10/19/1987,32065,,,"boobs, eyes, lips"
2/17/2020,25,no,1/29/1998,32244,,,butt
2/16/2020,25,no,12/6/1981,32233,,,eyes
3/10/2020,25,no,3/28/1987,32254,720,yes,thighs
3/7/2020,25,yes,12/29/1992,32216,,,"boobs, hair, nose"
2/15/2018,99,no,7/10/1989,32244,600,yes,"boobs, legs"
3/4/2018,179,no,8/5/1992,32258,750,no,
4/8/2018,99,no,6/26/1994,32244,1200,yes,"butt , legs"
